Index 17e->Feature of type 2 starts(4, 6) ends(28, 11) is 0
Index 17f->Feature of type 3 starts(4, 6) ends(28, 11) is 0
Index 180->Feature of type 0 starts(4, 6) ends(29, 10) is 0
Index 181->Feature of type 1 starts(4, 6) ends(29, 10) is 0
Index 182->Feature of type 2 starts(4, 6) ends(29, 10) is 0
Index 183->Feature of type 3 starts(4, 6) ends(29, 10) is 0
Index 184->Feature of type 0 starts(4, 6) ends(29, 11) is 0
Index 185->Feature of type 1 starts(4, 6) ends(29, 11) is 0
Index 186->Feature of type 2 starts(4, 6) ends(29, 11) is 0
Index 187->Feature of type 3 starts(4, 6) ends(29, 11) is 0
Index 188->Feature of type 0 starts(5, 6) ends(24, 10) is 0
Index 189->Feature of type 1 starts(5, 6) ends(24, 10) is 0
Index 18a->Feature of type 2 starts(5, 6) ends(24, 10) is 0
Index 18b->Feature of type 3 starts(5, 6) ends(24, 10) is 0
Index 18c->Feature of type 0 starts(5, 6) ends(24, 11) is 0
Index 18d->Feature of type 1 starts(5, 6) ends(24, 11) is 0
Index 18e->Feature of type 2 starts(5, 6) ends(24, 11) is 0
Index 18f->Feature of type 3 starts(5, 6) ends(24, 11) is 0
Index 190->Feature of type 0 starts(5, 6) ends(25, 10) is 0
Index 191->Feature of type 1 starts(5, 6) ends(25, 10) is 0
Index 192->Feature of type 2 starts(5, 6) ends(25, 10) is 0
Index 193->Feature of type 3 starts(5, 6) ends(25, 10) is 0
Index 194->Feature of type 0 starts(5, 6) ends(25, 11) is 0
Index 195->Feature of type 1 starts(5, 6) ends(25, 11) is 0
Index 196->Feature of type 2 starts(5, 6) ends(25, 11) is 0
Index 197->Feature of type 3 starts(5, 6) ends(25, 11) is 0
Index 198->Feature of type 0 starts(5, 6) ends(26, 10) is 0
Index 199->Feature of type 1 starts(5, 6) ends(26, 10) is 0
Index 19a->Feature of type 2 starts(5, 6) ends(26, 10) is 0
Index 19b->Feature of type 3 starts(5, 6) ends(26, 10) is 0
Index 19c->Feature of type 0 starts(5, 6) ends(26, 11) is 0
Index 19d->Feature of type 1 starts(5, 6) ends(26, 11) is 0
Index 19e->Feature of type 2 starts(5, 6) ends(26, 11) is 0
Index 19f->Feature of type 3 starts(5, 6) ends(26, 11) is 0
Index 1a0->Feature of type 0 starts(5, 6) ends(27, 10) is 0
Index 1a1->Feature of type 1 starts(5, 6) ends(27, 10) is 0
Index 1a2->Feature of type 2 starts(5, 6) ends(27, 10) is 0
Index 1a3->Feature of type 3 starts(5, 6) ends(27, 10) is 0
