83->Feature of type 3 starts(3, 5) ends(28, 11) in (x, y) format
2657->Feature of type 1 starts(6, 9) ends(30, 14) in (x, y) format
269->Feature of type 1 starts(5, 5) ends(30, 10) in (x, y) format
281->Feature of type 1 starts(5, 5) ends(31, 10) in (x, y) format
2349->Feature of type 1 starts(3, 9) ends(25, 15) in (x, y) format
2362->Feature of type 2 starts(3, 9) ends(26, 15) in (x, y) format
2430->Feature of type 2 starts(4, 9) ends(25, 14) in (x, y) format
2446->Feature of type 2 starts(4, 9) ends(26, 15) in (x, y) format
2517->Feature of type 1 starts(5, 9) ends(25, 15) in (x, y) format
2518->Feature of type 2 starts(5, 9) ends(25, 15) in (x, y) format
1330->Feature of type 2 starts(4, 7) ends(29, 13) in (x, y) format
2579->Feature of type 3 starts(5, 9) ends(30, 15) in (x, y) format
185->Feature of type 1 starts(4, 5) ends(30, 10) in (x, y) format
353->Feature of type 1 starts(6, 5) ends(30, 10) in (x, y) format
365->Feature of type 1 starts(6, 5) ends(31, 10) in (x, y) format
377->Feature of type 1 starts(6, 5) ends(31, 10) in (x, y) format
1786->Feature of type 2 starts(3, 8) ends(26, 14) in (x, y) format
2050->Feature of type 2 starts(6, 8) ends(27, 14) in (x, y) format
2346->Feature of type 2 starts(3, 9) ends(25, 14) in (x, y) format
2433->Feature of type 1 starts(4, 9) ends(25, 15) in (x, y) format
2438->Feature of type 2 starts(4, 9) ends(26, 13) in (x, y) format
2442->Feature of type 2 starts(4, 9) ends(26, 14) in (x, y) format
2510->Feature of type 2 starts(5, 9) ends(25, 13) in (x, y) format
2514->Feature of type 2 starts(5, 9) ends(25, 14) in (x, y) format
2522->Feature of type 2 starts(5, 9) ends(26, 13) in (x, y) format
2526->Feature of type 2 starts(5, 9) ends(26, 14) in (x, y) format
2530->Feature of type 2 starts(5, 9) ends(26, 15) in (x, y) format
2606->Feature of type 2 starts(6, 9) ends(26, 13) in (x, y) format
2610->Feature of type 2 starts(6, 9) ends(26, 14) in (x, y) format
2614->Feature of type 2 starts(6, 9) ends(26, 15) in (x, y) format
2618->Feature of type 2 starts(6, 9) ends(27, 13) in (x, y) format
2622->Feature of type 2 starts(6, 9) ends(27, 14) in (x, y) format
2626->Feature of type 2 starts(6, 9) ends(27, 15) in (x, y) format
2471->Feature of type 3 starts(4, 9) ends(28, 15) in (x, y) format
1210->Feature of type 2 starts(3, 7) ends(26, 13) in (x, y) format
2591->Feature of type 3 starts(5, 9) ends(31, 15) in (x, y) format
1486->Feature of type 2 starts(6, 7) ends(28, 13) in (x, y) format
1782->Feature of type 2 starts(3, 8) ends(26, 13) in (x, y) format
1878->Feature of type 2 starts(4, 8) ends(27, 13) in (x, y) format
1962->Feature of type 2 starts(5, 8) ends(27, 13) in (x, y) format
2046->Feature of type 2 starts(6, 8) ends(27, 13) in (x, y) format
2353->Feature of type 1 starts(3, 9) ends(26, 13) in (x, y) format
2358->Feature of type 2 starts(3, 9) ends(26, 14) in (x, y) format
2437->Feature of type 1 starts(4, 9) ends(26, 13) in (x, y) format
2521->Feature of type 1 starts(5, 9) ends(26, 13) in (x, y) format
2534->Feature of type 2 starts(5, 9) ends(27, 13) in (x, y) format
2605->Feature of type 1 starts(6, 9) ends(26, 13) in (x, y) format
1342->Feature of type 2 starts(4, 7) ends(30, 13) in (x, y) format
251->Feature of type 3 starts(5, 5) ends(28, 11) in (x, y) format
2058->Feature of type 2 starts(6, 8) ends(28, 13) in (x, y) format
2062->Feature of type 2 starts(6, 8) ends(28, 14) in (x, y) format
1390->Feature of type 2 starts(5, 7) ends(27, 13) in (x, y) format
1917->Feature of type 1 starts(4, 8) ends(30, 14) in (x, y) format
1498->Feature of type 2 starts(6, 7) ends(29, 13) in (x, y) format
