[2170, 5.8252818969040225e-05]
[2171, 0.00019296246283494566]
[2176, 0.00012482746921937192]
[2177, 3.9231490326088336e-05]
[2178, 0.00012126097009881844]
[2179, 0.00015692596130435337]
[2180, 0.000214807269948336]
[2181, 0.00014563204742260063]
[2182, 0.0001966032640205109]
[2183, 0.0001310688426803406]
[2188, 0.00012482746921937192]
[2189, 3.9231490326088336e-05]
[2190, 0.00012126097009881844]
[2191, 0.00015692596130435337]
[2192, 0.000214807269948336]
[2193, 0.00014563204742260063]
[2194, 0.0001966032640205109]
[2195, 0.0001310688426803406]
[2200, 0.00012482746921937192]
[2201, 3.9231490326088336e-05]
[2202, 0.00012126097009881844]
[2203, 0.00015692596130435337]
[2204, 0.000214807269948336]
[2205, 0.00014563204742260063]
[2206, 0.0001966032640205109]
[2207, 0.0001310688426803406]
[2248, 0.00011769447097826496]
[2249, 4.636448856719531e-05]
[2250, 0.00011412797185771148]
[2251, 0.0001462264639426929]
[2252, 0.00021480726994833597]
[2253, 0.00014563204742260063]
[2254, 0.00020024406520607592]
[2255, 0.00018932166164938068]
[2260, 0.0001462264639426929]
[2261, 4.2797989446641824e-05]
[2262, 0.000110561472737158]
[2263, 0.0001426599648221394]
[2264, 0.00014927284860816563]
[2265, 0.0001419912462370356]
[2266, 0.00018204005927825083]
[2267, 0.0001274280414947756]
[2272, 0.0001462264639426929]
[2273, 4.2797989446641824e-05]
[2274, 0.000110561472737158]
[2275, 0.0001426599648221394]
[2276, 0.00014927284860816563]
[2277, 0.0001419912462370356]
[2278, 0.00018204005927825083]
[2279, 0.0001274280414947756]
[2284, 0.0001462264639426929]
[2285, 4.2797989446641824e-05]
[2286, 0.000110561472737158]
[2287, 0.0001426599648221394]
[2288, 0.00014927284860816563]
[2289, 0.0001419912462370356]
[2290, 0.00018204005927825083]
[2291, 0.0001274280414947756]
[2296, 0.0001462264639426929]
[2297, 4.2797989446641824e-05]
[2298, 0.000110561472737158]
[2299, 0.0001426599648221394]
[2300, 0.00014927284860816563]
[2301, 0.0001419912462370356]
[2302, 0.00018204005927825083]
[2303, 0.0001274280414947756]
[2340, 0.00016405895954546036]
[2341, 5.7063985928855774e-05]
[2342, 7.489648153162319e-05]
[2343, 0.00012126097009881844]
[2344, 0.00015335946218379988]
[2345, 5.349748680830229e-05]
[2346, 6.776348329051623e-05]
[2347, 0.0001319604674604789]
[2348, 0.0001426599648221394]
[2349, 6.419698416996275e-05]
[2350, 5.349748680830229e-05]
[2351, 9.629547625494408e-05]
[2352, 0.00014979296306324638]
[2353, 7.132998241106971e-05]
[2354, 7.489648153162319e-05]
[2355, 0.0001319604674604789]
[2356, 0.00015335946218379988]
[2357, 5.349748680830229e-05]
[2358, 7.132998241106971e-05]
[2359, 0.0001355269665810324]
[2360, 0.00014979296306324638]
[2361, 8.202947977273015e-05]
[2362, 6.419698416996275e-05]
[2363, 8.202947977273015e-05]
[2364, 0.00015335946218379988]
[2365, 8.559597889328363e-05]
[2366, 7.489648153162319e-05]
[2367, 0.00012126097009881844]
[2368, 0.00019565348979818978]
[2369, 0.00010447516445534392]
[2370, 0.00011967155201248486]
[2371, 0.00010827426134462915]
[2372, 0.00021084987735533076]
[2373, 0.00013486793956962582]
[2374, 0.00013106884268034055]
[2375, 3.799096889285233e-05]
[2376, 0.00016405895954546036]
[2377, 8.559597889328363e-05]
[2378, 7.846298065217667e-05]
[2379, 0.00011412797185771148]
[2380, 0.00018640902070092867]
[2381, 0.00013592324426109392]
[2382, 0.00016699141437791535]
[2383, 8.155394655665635e-05]
[2384, 0.00020388486639164068]
[2385, 0.0001469559751264424]
[2386, 0.000180054167722488]
[2387, 8.075958993435124e-05]
[2388, 0.00014979296306324638]
[2389, 8.202947977273015e-05]
[2390, 9.629547625494408e-05]
[2391, 0.00011769447097826496]
[2392, 0.0001428258485021651]
[2393, 0.0001149573902578402]
[2394, 0.00017301667826685036]
[2395, 9.812019673522723e-05]
