Index 213->Feature of type 1 starts(5, 5) ends(25, 11) in (x, y) format
Index 214->Feature of type 2 starts(5, 5) ends(25, 11) in (x, y) format
Index 215->Feature of type 3 starts(5, 5) ends(25, 11) in (x, y) format
Index 216->Feature of type 0 starts(5, 5) ends(26, 9) in (x, y) format
Index 217->Feature of type 1 starts(5, 5) ends(26, 9) in (x, y) format
Index 218->Feature of type 2 starts(5, 5) ends(26, 9) in (x, y) format
Index 219->Feature of type 3 starts(5, 5) ends(26, 9) in (x, y) format
Index 220->Feature of type 0 starts(5, 5) ends(26, 10) in (x, y) format
Index 221->Feature of type 1 starts(5, 5) ends(26, 10) in (x, y) format
Index 222->Feature of type 2 starts(5, 5) ends(26, 10) in (x, y) format
Index 223->Feature of type 3 starts(5, 5) ends(26, 10) in (x, y) format
Index 224->Feature of type 0 starts(5, 5) ends(26, 11) in (x, y) format
Index 225->Feature of type 1 starts(5, 5) ends(26, 11) in (x, y) format
Index 226->Feature of type 2 starts(5, 5) ends(26, 11) in (x, y) format
Index 227->Feature of type 3 starts(5, 5) ends(26, 11) in (x, y) format
Index 228->Feature of type 0 starts(5, 5) ends(27, 9) in (x, y) format
Index 229->Feature of type 1 starts(5, 5) ends(27, 9) in (x, y) format
Index 230->Feature of type 2 starts(5, 5) ends(27, 9) in (x, y) format
Index 231->Feature of type 3 starts(5, 5) ends(27, 9) in (x, y) format
Index 232->Feature of type 0 starts(5, 5) ends(27, 10) in (x, y) format
Index 233->Feature of type 1 starts(5, 5) ends(27, 10) in (x, y) format
Index 234->Feature of type 2 starts(5, 5) ends(27, 10) in (x, y) format
Index 235->Feature of type 3 starts(5, 5) ends(27, 10) in (x, y) format
Index 236->Feature of type 0 starts(5, 5) ends(27, 11) in (x, y) format
Index 237->Feature of type 1 starts(5, 5) ends(27, 11) in (x, y) format
Index 238->Feature of type 2 starts(5, 5) ends(27, 11) in (x, y) format
Index 239->Feature of type 3 starts(5, 5) ends(27, 11) in (x, y) format
