2957->Feature of type 1 starts(4, 9) ends(26, 14) in (x, y) format
2958->Feature of type 2 starts(4, 9) ends(26, 14) in (x, y) format
3038->Feature of type 2 starts(5, 9) ends(25, 13) in (x, y) format
3042->Feature of type 2 starts(5, 9) ends(25, 14) in (x, y) format
3046->Feature of type 2 starts(5, 9) ends(25, 15) in (x, y) format
3050->Feature of type 2 starts(5, 9) ends(26, 13) in (x, y) format
3053->Feature of type 1 starts(5, 9) ends(26, 14) in (x, y) format
3054->Feature of type 2 starts(5, 9) ends(26, 14) in (x, y) format
3058->Feature of type 2 starts(5, 9) ends(26, 15) in (x, y) format
3133->Feature of type 1 starts(6, 9) ends(25, 13) in (x, y) format
3141->Feature of type 1 starts(6, 9) ends(25, 15) in (x, y) format
3146->Feature of type 2 starts(6, 9) ends(26, 13) in (x, y) format
3150->Feature of type 2 starts(6, 9) ends(26, 14) in (x, y) format
3154->Feature of type 2 starts(6, 9) ends(26, 15) in (x, y) format
3158->Feature of type 2 starts(6, 9) ends(27, 13) in (x, y) format
3969->Feature of type 1 starts(5, 10) ends(30, 16) in (x, y) format
426->Feature of type 2 starts(4, 6) ends(31, 11) in (x, y) format
1138->Feature of type 2 starts(3, 7) ends(26, 13) in (x, y) format
4425->Feature of type 1 starts(1, 11) ends(28, 17) in (x, y) format
4521->Feature of type 1 starts(2, 11) ends(28, 17) in (x, y) format
4605->Feature of type 1 starts(3, 11) ends(27, 17) in (x, y) format
4617->Feature of type 1 starts(3, 11) ends(28, 17) in (x, y) format
4701->Feature of type 1 starts(4, 11) ends(27, 17) in (x, y) format
4713->Feature of type 1 starts(4, 11) ends(28, 17) in (x, y) format
4809->Feature of type 1 starts(5, 11) ends(28, 17) in (x, y) format
1174->Feature of type 2 starts(3, 7) ends(29, 13) in (x, y) format
1450->Feature of type 2 starts(6, 7) ends(28, 13) in (x, y) format
4053->Feature of type 1 starts(6, 10) ends(29, 16) in (x, y) format
4533->Feature of type 1 starts(2, 11) ends(29, 17) in (x, y) format
4629->Feature of type 1 starts(3, 11) ends(29, 17) in (x, y) format
4641->Feature of type 1 starts(3, 11) ends(30, 17) in (x, y) format
4725->Feature of type 1 starts(4, 11) ends(29, 17) in (x, y) format
4737->Feature of type 1 starts(4, 11) ends(30, 17) in (x, y) format
4749->Feature of type 1 starts(4, 11) ends(31, 17) in (x, y) format
4845->Feature of type 1 starts(5, 11) ends(31, 17) in (x, y) format
4857->Feature of type 1 starts(5, 11) ends(31, 17) in (x, y) format
1270->Feature of type 2 starts(4, 7) ends(29, 13) in (x, y) format
3861->Feature of type 1 starts(4, 10) ends(29, 16) in (x, y) format
4065->Feature of type 1 starts(6, 10) ends(30, 16) in (x, y) format
4077->Feature of type 1 starts(6, 10) ends(31, 16) in (x, y) format
4089->Feature of type 1 starts(6, 10) ends(31, 16) in (x, y) format
4101->Feature of type 1 starts(6, 10) ends(31, 16) in (x, y) format
1126->Feature of type 2 starts(3, 7) ends(25, 13) in (x, y) format
1998->Feature of type 2 starts(3, 8) ends(26, 13) in (x, y) format
2106->Feature of type 2 starts(4, 8) ends(27, 13) in (x, y) format
2202->Feature of type 2 starts(5, 8) ends(27, 13) in (x, y) format
2298->Feature of type 2 starts(6, 8) ends(27, 13) in (x, y) format
2762->Feature of type 2 starts(2, 9) ends(26, 13) in (x, y) format
2862->Feature of type 2 starts(3, 9) ends(26, 14) in (x, y) format
3037->Feature of type 1 starts(5, 9) ends(25, 13) in (x, y) format
3062->Feature of type 2 starts(5, 9) ends(27, 13) in (x, y) format
3407->Feature of type 3 starts(8, 9) ends(31, 15) in (x, y) format
3419->Feature of type 3 starts(8, 9) ends(31, 15) in (x, y) format
3431->Feature of type 3 starts(8, 9) ends(31, 15) in (x, y) format
3443->Feature of type 3 starts(8, 9) ends(31, 15) in (x, y) format
3455->Feature of type 3 starts(8, 9) ends(31, 15) in (x, y) format
3981->Feature of type 1 starts(5, 10) ends(31, 16) in (x, y) format
3993->Feature of type 1 starts(5, 10) ends(31, 16) in (x, y) format
946->Feature of type 2 starts(1, 7) ends(26, 13) in (x, y) format
3179->Feature of type 3 starts(6, 9) ends(28, 15) in (x, y) format
3299->Feature of type 3 starts(7, 9) ends(30, 15) in (x, y) format
4912->Feature of type 0 starts(6, 11) ends(29, 16) in (x, y) format
4916->Feature of type 0 starts(6, 11) ends(29, 17) in (x, y) format
3777->Feature of type 1 starts(3, 10) ends(30, 16) in (x, y) format
2214->Feature of type 2 starts(5, 8) ends(28, 13) in (x, y) format
4840->Feature of type 0 starts(5, 11) ends(31, 16) in (x, y) format
4843->Feature of type 3 starts(5, 11) ends(31, 16) in (x, y) format
4852->Feature of type 0 starts(5, 11) ends(31, 16) in (x, y) format
4855->Feature of type 3 starts(5, 11) ends(31, 16) in (x, y) format
2322->Feature of type 2 starts(6, 8) ends(29, 13) in (x, y) format
3765->Feature of type 1 starts(3, 10) ends(29, 16) in (x, y) format
1806->Feature of type 2 starts(1, 8) ends(26, 13) in (x, y) format
1902->Feature of type 2 starts(2, 8) ends(26, 13) in (x, y) format
1914->Feature of type 2 starts(2, 8) ends(27, 13) in (x, y) format
2010->Feature of type 2 starts(3, 8) ends(27, 13) in (x, y) format
2653->Feature of type 1 starts(1, 9) ends(25, 13) in (x, y) format
2749->Feature of type 1 starts(2, 9) ends(25, 13) in (x, y) format
2846->Feature of type 2 starts(3, 9) ends(25, 13) in (x, y) format
2858->Feature of type 2 starts(3, 9) ends(26, 13) in (x, y) format
2870->Feature of type 2 starts(3, 9) ends(27, 13) in (x, y) format
2990->Feature of type 2 starts(4, 9) ends(29, 13) in (x, y) format
3002->Feature of type 2 starts(4, 9) ends(30, 13) in (x, y) format
3182->Feature of type 2 starts(6, 9) ends(29, 13) in (x, y) format
3393->Feature of type 1 starts(8, 9) ends(30, 15) in (x, y) format
3395->Feature of type 3 starts(8, 9) ends(30, 15) in (x, y) format
4041->Feature of type 1 starts(6, 10) ends(28, 16) in (x, y) format
2034->Feature of type 2 starts(3, 8) ends(29, 13) in (x, y) format
3873->Feature of type 1 starts(4, 10) ends(30, 16) in (x, y) format
3885->Feature of type 1 starts(4, 10) ends(31, 16) in (x, y) format
3657->Feature of type 1 starts(2, 10) ends(28, 16) in (x, y) format
3753->Feature of type 1 starts(3, 10) ends(28, 16) in (x, y) format
1186->Feature of type 2 starts(3, 7) ends(30, 13) in (x, y) format
