Index 339->Feature of type 3 starts(4, 6) ends(24, 10) in (x, y) format
Index 340->Feature of type 0 starts(4, 6) ends(24, 11) in (x, y) format
Index 341->Feature of type 1 starts(4, 6) ends(24, 11) in (x, y) format
Index 342->Feature of type 2 starts(4, 6) ends(24, 11) in (x, y) format
Index 343->Feature of type 3 starts(4, 6) ends(24, 11) in (x, y) format
Index 344->Feature of type 0 starts(4, 6) ends(24, 12) in (x, y) format
Index 345->Feature of type 1 starts(4, 6) ends(24, 12) in (x, y) format
Index 346->Feature of type 2 starts(4, 6) ends(24, 12) in (x, y) format
Index 347->Feature of type 3 starts(4, 6) ends(24, 12) in (x, y) format
Index 348->Feature of type 0 starts(4, 6) ends(25, 10) in (x, y) format
Index 349->Feature of type 1 starts(4, 6) ends(25, 10) in (x, y) format
Index 350->Feature of type 2 starts(4, 6) ends(25, 10) in (x, y) format
Index 351->Feature of type 3 starts(4, 6) ends(25, 10) in (x, y) format
Index 352->Feature of type 0 starts(4, 6) ends(25, 11) in (x, y) format
Index 353->Feature of type 1 starts(4, 6) ends(25, 11) in (x, y) format
Index 354->Feature of type 2 starts(4, 6) ends(25, 11) in (x, y) format
Index 355->Feature of type 3 starts(4, 6) ends(25, 11) in (x, y) format
Index 356->Feature of type 0 starts(4, 6) ends(25, 12) in (x, y) format
Index 357->Feature of type 1 starts(4, 6) ends(25, 12) in (x, y) format
Index 358->Feature of type 2 starts(4, 6) ends(25, 12) in (x, y) format
Index 359->Feature of type 3 starts(4, 6) ends(25, 12) in (x, y) format
Index 360->Feature of type 0 starts(4, 6) ends(26, 10) in (x, y) format
Index 361->Feature of type 1 starts(4, 6) ends(26, 10) in (x, y) format
Index 362->Feature of type 2 starts(4, 6) ends(26, 10) in (x, y) format
Index 363->Feature of type 3 starts(4, 6) ends(26, 10) in (x, y) format
Index 364->Feature of type 0 starts(4, 6) ends(26, 11) in (x, y) format
Index 365->Feature of type 1 starts(4, 6) ends(26, 11) in (x, y) format
Index 366->Feature of type 2 starts(4, 6) ends(26, 11) in (x, y) format
Index 367->Feature of type 3 starts(4, 6) ends(26, 11) in (x, y) format
Index 368->Feature of type 0 starts(4, 6) ends(26, 12) in (x, y) format
Index 369->Feature of type 1 starts(4, 6) ends(26, 12) in (x, y) format
Index 370->Feature of type 2 starts(4, 6) ends(26, 12) in (x, y) format
Index 371->Feature of type 3 starts(4, 6) ends(26, 12) in (x, y) format
Index 372->Feature of type 0 starts(4, 6) ends(27, 10) in (x, y) format
Index 373->Feature of type 1 starts(4, 6) ends(27, 10) in (x, y) format
Index 374->Feature of type 2 starts(4, 6) ends(27, 10) in (x, y) format
Index 375->Feature of type 3 starts(4, 6) ends(27, 10) in (x, y) format
Index 376->Feature of type 0 starts(4, 6) ends(27, 11) in (x, y) format
Index 377->Feature of type 1 starts(4, 6) ends(27, 11) in (x, y) format
