Index 353->Feature of type 1 starts(3, 8) ends(27, 13) is 0
Index 354->Feature of type 2 starts(3, 8) ends(27, 13) is 0
Index 355->Feature of type 3 starts(3, 8) ends(27, 13) is 0
Index 356->Feature of type 0 starts(3, 8) ends(27, 14) is 0
Index 357->Feature of type 1 starts(3, 8) ends(27, 14) is 0
Index 358->Feature of type 2 starts(3, 8) ends(27, 14) is 0
Index 359->Feature of type 3 starts(3, 8) ends(27, 14) is 0
Index 360->Feature of type 0 starts(3, 8) ends(28, 12) is 0
Index 361->Feature of type 1 starts(3, 8) ends(28, 12) is 0
Index 362->Feature of type 2 starts(3, 8) ends(28, 12) is 0
Index 363->Feature of type 3 starts(3, 8) ends(28, 12) is 0
Index 364->Feature of type 0 starts(3, 8) ends(28, 13) is 0
Index 365->Feature of type 1 starts(3, 8) ends(28, 13) is 0
Index 366->Feature of type 2 starts(3, 8) ends(28, 13) is 0
Index 367->Feature of type 3 starts(3, 8) ends(28, 13) is 0
Index 368->Feature of type 0 starts(3, 8) ends(28, 14) is 0
Index 369->Feature of type 1 starts(3, 8) ends(28, 14) is 0
Index 370->Feature of type 2 starts(3, 8) ends(28, 14) is 0
Index 371->Feature of type 3 starts(3, 8) ends(28, 14) is 0
Index 372->Feature of type 0 starts(3, 8) ends(29, 12) is 0
Index 373->Feature of type 1 starts(3, 8) ends(29, 12) is 0
Index 374->Feature of type 2 starts(3, 8) ends(29, 12) is 0
Index 375->Feature of type 3 starts(3, 8) ends(29, 12) is 0
Index 376->Feature of type 0 starts(3, 8) ends(29, 13) is 0
Index 377->Feature of type 1 starts(3, 8) ends(29, 13) is 0
Index 378->Feature of type 2 starts(3, 8) ends(29, 13) is 0
Index 379->Feature of type 3 starts(3, 8) ends(29, 13) is 0
Index 380->Feature of type 0 starts(3, 8) ends(29, 14) is 0
Index 381->Feature of type 1 starts(3, 8) ends(29, 14) is 0
Index 382->Feature of type 2 starts(3, 8) ends(29, 14) is 0
Index 383->Feature of type 3 starts(3, 8) ends(29, 14) is 0
Index 384->Feature of type 0 starts(3, 9) ends(22, 13) is 0
Index 385->Feature of type 1 starts(3, 9) ends(22, 13) is 0
Index 386->Feature of type 2 starts(3, 9) ends(22, 13) is 0
Index 387->Feature of type 3 starts(3, 9) ends(22, 13) is 0
Index 388->Feature of type 0 starts(3, 9) ends(22, 14) is 0
Index 389->Feature of type 1 starts(3, 9) ends(22, 14) is 0
Index 390->Feature of type 2 starts(3, 9) ends(22, 14) is 0
Index 391->Feature of type 3 starts(3, 9) ends(22, 14) is 0
Index 392->Feature of type 0 starts(3, 9) ends(22, 15) is 0
Index 393->Feature of type 1 starts(3, 9) ends(22, 15) is 0
Index 394->Feature of type 2 starts(3, 9) ends(22, 15) is 0
Index 395->Feature of type 3 starts(3, 9) ends(22, 15) is 0
Index 396->Feature of type 0 starts(3, 9) ends(23, 13) is 0
